;O2 concentration (micromol/L);
Distance (microm);Profile 1;Profile 2
755;201,9042608;272,0437029
754;198,8622541;277,1629228
753;196,4472857;275,1715554
752;195,7378338;273,293483
751;196,0858599;273,8073788
750;193,5085049;274,1325606
749;198,4678872;274,0863039
748;202,9068393;276,6535688
747;205,4562191;277,1303764
746;209,2524642;278,2562867
745;211,6341385;278,2493939
744;211,8005469;275,5631062
743;209,717983;277,1052354
742;208,1430375;278,2740084
741;208,2334128;278,1437893
740;208,6218945;277,0092516
739;207,1312696;278,6076751
738;205,9401986;277,3736606
737;204,7491216;275,5547633
736;205,2232849;272,3654459
735;201,9680035;271,9778718
734;202,4187502;272,4505833
733;204,5594946;271,5863779
732;204,9119155;271,7800209
731;205,5463029;273,3390919
730;206,7860293;277,599591
729;206,5145835;280,7274183
728;206,2493725;282,3945132
727;208,4906143;284,2528019
726;208,7433113;287,3979201
725;208,9245027;286,0021328
724;206,5494584;284,7395155
723;205,9799839;285,8763396
722;207,9261021;286,7558334
721;211,1236329;286,0106712
720;215,7294099;283,0349209
719;219,2022915;287,0766691
718;218,786621;289,2424766
717;214,9666889;289,0783207
716;210,8580069;286,8931755
715;213,9886221;287,8154285
714;217,0268995;288,0023427
713;215,6650303;288,3253735
712;212,1675843;289,0588406
711;206,0056324;287,4004396
710;200,6027216;284,9977258
709;201,4041741;278,5008525
708;206,1334259;277,35825
707;207,8485555;276,9968389
706;209,0437367;276,502989
705;205,8378004;278,7391122
704;203,4991335;280,1925017
703;204,0234758;279,1277737
702;207,2668476;277,3450144
701;208,7518186;280,3423183
700;209,1107884;286,6221339
699;204,9570506;289,3642163
698;198,5671693;289,2016688
697;200,1193819;288,9118128
696;203,2808474;288,3466269
695;207,5884017;283,3043392
694;211,3336163;279,6360595
693;214,5164911;279,1229368
692;215,0164358;275,5765352
691;218,2408746;271,1473548
690;220,6978969;265,3999383
689;225,8725005;263,2733093
688;233,0768396;260,6493147
687;233,8231147;260,2958151
686;231,4806617;263,7673446
685;232,0580578;266,1996797
684;232,1408198;267,6351937
683;233,4311698;263,5440842
682;234,6358576;263,6333759
681;237,0425203;268,0358363
680;240,4286692;270,6952693
679;239,4648197;274,7326246
678;240,55717;280,0416359
677;240,0358868;280,380722
676;238,3682391;279,1637608
675;239,1494098;281,6241431
674;242,8494994;283,5598217
673;240,9629275;287,5588398
672;240,0127407;289,9127809
671;239,2396541;292,7498965
670;236,1139627;293,6458908
669;232,3359347;289,7647354
668;226,2520705;286,7865047
667;226,2905001;287,7785842
666;228,3829247;290,5759215
665;221,0719906;288,9100101
664;211,7599737;285,7665833
663;210,5924958;285,9284123
662;209,8498381;286,0009785
661;206,5956309;282,8305443
660;204,9941691;281,7011089
659;205,2531808;284,4497323
658;204,8548419;285,9714602
657;201,7079988;284,0689797
656;198,6899513;277,0328374
655;203,2723642;278,2731108
654;207,4789251;281,8683483
653;208,2010054;284,8408645
652;210,0113783;288,9132877
651;211,6033816;291,902315
650;213,4264724;293,009013
649;213,4514956;295,6002297
648;215,5566791;296,0485299
647;218,6193262;300,3771745
646;219,6533676;306,1395275
645;218,9180285;304,8353123
644;217,9505619;304,6306204
643;214,2668862;304,1531107
642;208,994605;303,3856617
641;205,8551628;302,9066233
