;Location;;;;;;;;;;;;;;;;
0,001474898;188,61;140,6506331;-28,49467591;-55,77151085;-79,49365428;-120,43;-75,59347104;206,37;200,4682524;242,55;166,1884585;155,1679814;-30,20664792;;;;
0,001496588;178,88;142,7909364;-21,68494356;-64,63207488;-78,06796434;-127,62;-69,23574056;195,30;188,9548548;240,71;161,8344766;171,0342707;-19,69741754;;;;
0,001518278;172,28;142,4214827;-12,69357914;-84,9799623;-79,75471545;-136,73;-66,91652496;181,48;173,1829444;242,16;169,6356959;188,4552677;-17,60994921;;;;
0,001539967;173,08;139,8072661;-3,357862226;-104,856401;-90,08628313;-151,01;-69,33593075;165,53;155,5554252;239,71;177,5204629;207,6968425;-22,85543975;;;;
0,001561657;182,38;127,2545871;2,233147375;-125,2514514;-109,8871775;-177,09;-73,90056323;146,22;136,2922386;233,57;180,7067212;214,2036705;-34,45909104;;;;
0,001583347;194,03;110,3695053;7,416377204;-140,8536646;-137,2404435;-209,31;-81,76263753;129,78;123,1431948;213,53;174,8489702;214,1983248;-48,50452324;;;;
0,001605036;202,98;87,219024;12,24734626;-153,7128203;-174,0390597;-243,34;-82,02007941;116,69;114,6811719;188,44;164,7264774;203,2149885;-57,18424098;;;;
0,001626726;197,88;66,15168633;18,28182465;-161,3428948;-205,7730767;-269,18;-79,80193288;113,70;112,6153547;156,98;149,5804097;190,1334748;-56,79736054;;;;
0,001648416;182,86;49,08997894;18,85820604;-165,7110247;-230,5215382;-287,37;-77,31999343;110,94;108,5573655;135,32;137,3251531;175,3538904;-49,40017089;;;;
0,001670105;162,84;43,01899004;11,6359482;-166,6032838;-237,3174086;-286,30;-84,1455543;106,65;102,0152991;120,08;126,7725355;155,9419074;-40,40401552;;;;
0,001691795;146,94;46,51763031;-12,87415598;-169,0907668;-233,8477617;-280,37;-96,94206306;96,63;90,40635502;117,45;112,2866988;138,4517945;-32,51034726;;;;
0,001713485;136,51;55,13474622;-40,75905031;-171,2663475;-212,3241085;-267,89;-116,0523056;85,12;79,06333795;120,90;97,51795538;122,2601985;-23,22897195;;;;
0,001735174;137,97;67,92864797;-68,58404242;-172,3895484;-191,9809594;-251,19;-134,5111896;73,83;67,50893208;126,46;82,43714383;107,7313918;-13,04820322;;;;
0,001756864;139,74;76,97055352;-85,53153061;-166,8762265;-173,0494089;-232,46;-152,3717086;61,16;54,17499441;126,12;59,48657549;92,800733;-7,753013866;;;;
0,001778554;136,90;82,75130157;-96,43876009;-158,047325;-159,7201436;-210,45;-157,3395532;47,13;36,82857666;118,86;36,27937075;77,40801265;-5,246680987;;;;
0,001800243;131,27;86,97171565;-98,93226659;-144,2211529;-150,396597;-193,10;-155,1377968;27,41;16,89424487;105,54;13,4482948;66,1943194;-6,281234477;;;;
0,001821933;125,10;90,11570084;-100,6584865;-129,790034;-144,8286446;-178,52;-141,8997094;7,60;-2,982152589;81,07;-3,2652166;53,61826278;-6,929496506;;;;
0,001843623;123,61;91,63757751;-101,7581318;-115,0868567;-141,1389035;-164,31;-123,9644726;-12,05;-15,17310524;53,87;-16,45611723;36,71004444;-7,592776431;;;;
0,001865312;121,64;84,18441817;-97,97657582;-101,4899716;-138,3655827;-147,40;-104,6432551;-17,02;-19,31253276;23,14;-23,64266593;18,81595376;-7,452614852;;;;
0,001887002;119,18;71,42036514;-88,15011909;-89,63340601;-136,5464819;-127,62;-84,69434706;-24,59;-30,202424;-10,79;-37,8452956;0,57846828;-7,332908177;;;;
0,001908692;106,67;48,73355017;-69,06553108;-80,08795686;-119,8478352;-100,76;-70,35295804;-36,01;-40,31947462;-42,99;-54,67779252;-17,48963386;-7,462922756;;;;
0,001930382;90,92;16,59049667;-45,69018401;-75,20587844;-96,71081638;-71,55;-58,79696717;-44,45;-48,42976481;-69,06;-75,6180654;-36,62940595;-7,929628135;;;;
0,001952071;70,61;-19,26788092;-21,85117679;-73,13398529;-63,79837518;-38,94;-46,84179987;-54,49;-61,79826077;-86,21;-95,72176876;-56,2645058;-8,363297365;;;;
0,001973761;51,42;-49,64278865;0,184996203;-76,06295453;-27,07997249;-2,13;-31,93258641;-68,82;-74,05792164;-99,42;-116,4622163;-68,13241862;-8,778970526;;;;
0,001995451;29,48;-68,93409519;8,820761149;-77,13786466;10,27320706;36,25;-14,42360211;-75,96;-79,13563247;-113,47;-135,4921798;-80,85141542;-9,664673156;;;;
0,00201714;-2,90;-78,85801992;9,432149659;-75,44858272;31,63464356;75,65;8,330414375;-78,22;-72,14263281;-128,69;-152,0314011;-94,84709755;-9,645066316;;;;
0,00203883;-37,59;-82,35676654;-2,509633589;-58,66397687;39,4731557;115,00;31,31583733;-66,87;-60,3656582;-144,99;-161,4814854;-114,6457261;-7,725518787;;;;
0,00206052;-72,55;-87,04597442;-11,7162217;-36,70652005;34,66008268;153,88;54,36486958;-53,96;-47,1998017;-164,97;-170,6255995;-134,7052319;-4,872720506;;;;
0,002082209;-94,60;-93,81163671;-18,3002525;-10,01761293;19,41603639;181,52;78,38336605;-42,99;-50,90045915;-183,73;-178,3772258;-153,0973233;-2,640069828;;;;
0,002103899;-113,70;-104,4314542;-19,44837477;22,03422414;10,8003002;208,78;98,84573454;-58,96;-67,08649499;-200,62;-182,774745;-165,8853893;-3,677365618;;;;
