;Depth Location;;;;;;;;;;;;
Distance on line [m];1,6;1,4;1,2;1;0,8;0,6;0,4;0,2;0;-0,2;-0,4;-0,6;-0,8
0,001840365;-269,138197;145,1967025;145,1967025;223,9830505;155,4749332;-29,86485014;-137,5464323;-133,7909581;-266,7832692;-399,9037979;-397,3494878;-449,6611876;-17,6309401
0,001862274;-242,9123956;177,427676;177,427676;227,7750077;167,2369978;-21,70671364;-107,5948899;-107,7071387;-257,427901;-388,8524159;-396,1952222;-450,6749323;-40,99100524
0,001884183;-215,4680331;203,4727716;203,4727716;228,5111469;179,5123356;-14,55012393;-83,8675966;-90,43710122;-248,1072603;-375,7044471;-388,7209518;-447,7218658;-67,31227193
0,001906092;-183,5313564;218,9060682;218,9060682;227,9484273;194,870139;-11,20710335;-63,11470267;-75,30706585;-234,7882837;-360,9490207;-376,2892782;-442,4170623;-94,26190803
0,001928002;-153,1870522;227,2484415;227,2484415;228,7082091;212,6652073;-8,125220209;-47,47597946;-62,72294333;-211,0768656;-340,957462;-362,5393057;-434,4699733;-120,324748
0,001949911;-123,995592;221,0398508;221,0398508;231,2324542;232,8047801;-5,586989469;-35,13743298;-44,58428594;-179,6179312;-318,4859187;-347,9196855;-422,8186308;-144,7439494
0,00197182;-99,14223012;213,2178492;213,2178492;235,4057119;246,9781366;1,332794464;-25,62631551;-23,85021418;-132,4475877;-291,5681348;-330,800309;-408,357969;-173,561845
0,001993729;-75,80442812;205,2853176;205,2853176;239,5378594;255,6545704;13,59250436;-16,99644664;-3,386274661;-96,38698662;-260,6209935;-311,4342043;-384,942336;-203,7590889
0,002015638;-54,43558839;205,5445075;205,5445075;242,4646737;246,6242163;38,36356458;-7,715337601;13,45355718;-68,14123997;-227,8725376;-285,0149023;-359,9537945;-236,1864291
0,002037547;-32,68393356;213,4021874;213,4021874;242,4962193;232,2317866;66,35447003;3,048550223;26,21223382;-58,11125728;-191,7860893;-250,3888201;-325,653503;-264,2021542
0,002059456;-9,432159481;229,1687469;229,1687469;239,4544047;212,5867783;96,3615238;12,53031665;37,71006684;-44,61102156;-154,1671798;-206,0454692;-288,7387203;-291,065378
0,002081365;16,1148935;250,7147889;250,7147889;235,6829564;197,991367;118,405867;25,04802416;50,20761593;-29,04612108;-116,9477659;-152,3273542;-251,2970451;-317,6698579
0,002103274;41,15981028;268,4569741;268,4569741;233,1361043;193,0299117;136,0844858;45,18384249;68,97400533;-11,93515412;-82,06000044;-99,4900783;-222,3007463;-336,7516849
0,002125184;64,94041706;277,484533;277,484533;229,5313598;198,7709238;144,9267998;62,79595357;88,31374863;5,858814529;-46,46848663;-51,17319852;-198,6855919;-351,7172524
0,002147093;85,36583139;271,1461548;271,1461548;224,874055;220,8077812;145,1970969;80,45219702;108,174073;22,8805861;-11,67462883;-12,45919418;-189,509;-362,5764438
0,002169002;104,4188648;259,1329074;259,1329074;212,94129;245,500364;141,2209015;100,8107917;123,0518854;37,93458307;18,67740297;20,68353995;-179,9337942;-373,9442224
0,002190911;121,6247185;241,8711243;241,8711243;205,2919131;273,1044106;134,8589096;117,7024075;141,0092307;50,31409194;48,88346308;42,13848299;-166,80757;-384,9840342
0,00221282;139,4950873;236,2142968;236,2142968;204,4439829;289,9028997;126,854009;132,1846473;164,5931746;62,83250381;78,99213397;57,49459954;-141,9393258;-389,7202176
0,002234729;156,9771735;237,6356131;237,6356131;206,2267366;299,7354235;117,6200189;129,5872715;184,1054179;73,52537778;100,8430243;64,48385231;-110,5654434;-386,2623909
0,002256638;171,4550176;242,7605018;242,7605018;207,9150219;299,8772562;108,2339771;122,5800999;198,3327086;83,51168509;120,4826626;68,70099122;-74,12091211;-372,9951562
0,002278547;177,6714861;244,2984117;244,2984117;208,0044808;288,8968727;100,5343074;108,1557399;198,9264615;91,85064165;137,4354323;74,14054124;-39,91464199;-359,9317565
0,002300456;178,5808047;241,7936922;241,7936922;209,0937929;274,1383906;93,35723527;97,74782338;197,2108764;101,145455;149,3741204;79,13069141;-7,625872168;-348,9323484
0,002322366;177,2782765;229,8994811;229,8994811;210,5329082;255,7383655;88,86954159;87,56692157;194,1310536;109,2211209;159,5872719;85,53544044;16,75490634;-343,7849843
0,002344275;178,0154076;214,5794635;214,5794635;209,2948597;230,7417695;86,61368792;74,08961121;185,4638566;116,2467919;167,472074;92,27809132;40,00563788;-335,5641979
0,002366184;181,4945571;194,0887522;194,0887522;205,8140655;202,5646854;76,64861173;58,5178093;176,071706;123,0169008;173,1697373;103,4219886;62,0997221;-324,6071862
0,002388093;187,9603597;171,5936297;171,5936297;200,3322044;170,374046;66,85402677;41,80589921;165,7711261;129,1219846;177,6739962;115,4685831;82,72621613;-305,1381988
0,002410002;193,1477847;148,6580582;148,6580582;181,5734969;134,7416702;57,18801946;33,40862495;152,1194052;135,7755796;180,4434836;128,9750316;98,50241571;-284,0192158
0,002431911;194,7250042;127,9886753;127,9886753;155,5898355;97,15279627;48,35836981;27,74606666;136,1242267;143,5228599;180,1352184;142,1322613;100,3845811;-258,1491786
0,00245382;193,8482648;103,9819944;103,9819944;118,5672087;54,94601487;41,43834562;24,7677462;117,8979151;144,4720563;178,2617633;154,6198289;89,47185381;-224,5699794
0,002475729;192,3753851;77,85318901;77,85318901;74,28937871;8,766658676;32,26446601;22,51505469;98,77312754;139,686365;169,8079583;160,1865063;71,92842268;-189,3046121
0,002497638;191,4464706;50,77193605;50,77193605;28,73835917;-38,75123548;22,27672343;19,04213172;79,75427129;139,9335673;159,7434516;164,5276546;50,50859687;-153,5971623
0,002519548;191,0798752;22,92146791;22,92146791;-14,20699594;-84,21029457;10,63969069;11,86307482;68,58701283;138,5755177;149,7296569;165,0656368;32,15403666;-130,4677976
0,002541457;190,9378977;-5,584100108;-5,584100108;-50,00082985;-128,7817067;-4,586802474;3,493884413;65,83976623;137,0063971;146,4017061;157,9886946;16,59589428;-113,911968
0,002563366;190,5665738;-36,24687837;-36,24687837;-81,22380419;-172,6078841;-22,69521067;-5,213775048;74,14903752;130,6761007;145,0044314;147,41589;5,482685685;-104,6442203
0,002585275;188,9030934;-65,42889901;-65,42889901;-114,9706776;-211,4281737;-45,13786379;-11,20996667;91,55973669;127,4636331;144,5278901;134,8984251;-4,816245656;-99,2977481
0,002607184;186,1143978;-90,7164309;-90,7164309;-147,6643287;-250,9172338;-71,80147769;-17,38814128;109,4215086;128,7996443;136,0666009;122,6255352;-14,12536418;-93,53197578
0,002629093;180,4515374;-111,4780661;-111,4780661;-179,6979601;-290,4611178;-101,783957;-23,71445653;123,8058418;131,7745413;125,4607931;112,5957536;-19,58691618;-86,53439245
0,002651002;175,105779;-130,4412652;-130,4412652;-207,7117367;-325,709505;-127,7190777;-33,69908278;131,527705;134,9156497;113,3822188;101,1509221;-21,21768461;-76,16991512
0,002672911;170,6420217;-149,0571152;-149,0571152;-234,1890463;-353,5313983;-151,2466018;-41,28420727;135,3873634;136,5133679;102,8787279;91,83158433;-12,16064188;-66,21487136
0,00269482;166,1935579;-163,0278083;-163,0278083;-258,3828551;-374,2641569;-161,4601753;-43,59801913;133,2272955;141,4754094;94,51666988;83,68054361;-0,354903946;-58,92314293
0,00271673;161,1525449;-173,2238837;-173,2238837;-279,9350605;-374,6381139;-175,4259688;-38,15663507;127,2918014;148,6791007;88,45342934;76,85247646;12,57831619;-64,46728267
0,002738639;152,2081311;-180,0813649;-180,0813649;-299,4436885;-365,1381015;-190,5166213;-28,57450057;117,8361072;156,4503299;95,62716504;71,27761868;19,05886483;-74,80918676
0,002760548;141,6547019;-183,5867001;-183,5867001;-314,8625396;-345,5025441;-207,708917;-12,21207114;107,8573028;156,0978703;108,449976;67,61274504;23,82216843;-88,32112304
0,002782457;129,4153915;-183,3946523;-183,3946523;-326,128066;-321,5571529;-220,2058569;3,82805131;97,33381309;149,5972254;126,7066834;69,90545834;26,86134927;-92,81841217
0,002804366;115,526284;-187,6398656;-187,6398656;-334,3863183;-291,8594408;-226,5549801;19,70952874;85,90055531;137,7998403;139,6357571;79,50908525;34,52325762;-92,6525056
0,002826275;99,85766812;-193,6265224;-193,6265224;-332,5192882;-256,0708005;-226,4816341;29,40770194;74,52632899;123,5549748;149,1430972;94,6042705;42,07553082;-91,05640878
0,002848184;82,89073426;-200,3704209;-200,3704209;-327,8821193;-226,3000813;-223,4045852;34,31753167;61,97286107;108,4269637;152,5676724;110,2437781;48,15857273;-86,06898957
0,002870093;74,11463385;-203,1431978;-203,1431978;-319,3887984;-199,1604181;-210,7436303;33,21629279;44,26537319;93,43810658;153,0562244;125,9416432;53,87084224;-80,01139712
0,002892002;69,02796673;-202,866575;-202,866575;-304,5764298;-174,5620138;-197,3695826;26,31437997;25,35740222;79,2865747;151,5463141;142,2232277;60,00114896;-80,89032483
